desktop_dialog_1920x1080_i420.yuv, SlcMd, SlcNum, PicW, PicH, ThrdNum, AllocSize, FreeSize, LeakSize
desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 40769565, 40769565, 0
desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 40769565, 40769565, 0
desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 40769565, 40769565, 0
desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 40769565, 40769565, 0
desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 40791765, 40791765, 0
desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 40791765, 40791765, 0
desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 40791765, 40791765, 0
desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 40791765, 40791765, 0
desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 40776965, 40776965, 0
desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 40776965, 40776965, 0
desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 40776965, 40776965, 0
desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 40776965, 40776965, 0
desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 41021165, 41021165, 0
desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 41021165, 41021165, 0
desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 41021165, 41021165, 0
desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 41021165, 41021165, 0
